,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,0.3170359134674072,0.15851205587387085,0.7370737212643741,0.5913140996634146,0.9986478364604496
1,1,0.3886626958847046,0.13032081723213196,0.9871975374359181,0.9766870586610006,0.9999499197936812
2,2,0.40259718894958496,0.12962982058525085,0.9991086086583445,0.9986914869550806,0.9995492787680713
3,3,0.3983558416366577,0.11757270991802216,0.9913762809488496,0.9999999999202879,0.9849425747093833
4,4,0.4446296691894531,0.10171665996313095,0.9475758231666713,0.9998845617664669,0.9321414262092349
5,5,0.47572675347328186,0.09051238000392914,0.9999999949218807,0.9999999999218826,0.9999999999218826
6,6,0.4921112060546875,0.08398644626140594,0.9999999949218807,0.9999999999218826,0.9999999999218826
7,7,0.5169945359230042,0.07494644820690155,0.9999999949218807,0.9999999999218826,0.9999999999218826
8,8,0.5701563954353333,0.0621652789413929,0.6001084445475301,0.8269230763868236,0.5662560095711451
9,9,0.5620865225791931,0.06014934927225113,0.9999999949218807,0.9999999999218826,0.9999999999218826
10,10,0.5846382975578308,0.05462091416120529,0.9999999949218807,0.9999999999218826,0.9999999999218826
11,11,0.6198165416717529,0.04605388641357422,0.9999999949218807,0.9999999999218826,0.9999999999218826
12,12,0.6679239273071289,0.042189501225948334,0.3184331721967208,0.6175213668404775,0.27106704057711284
13,13,0.6506561040878296,0.037138208746910095,0.34624598502831555,0.43162393116445363,0.34017761749479014
14,14,0.6722787022590637,0.03252710402011871,0.9991824705466191,0.9999999999217485,0.9984308225715767
15,15,0.705984890460968,0.028506852686405182,0.4540564718550724,0.536324785919613,0.44654780979417213
16,16,0.749820351600647,0.022290784865617752,0.007340427877022159,0.06837606812032085,0.0041566506407009025
17,17,0.7345272302627563,0.020586907863616943,0.004914265675363313,0.07051282019296146,0.0026542467946644313
18,18,0.7768233418464661,0.016158699989318848,0.042802389266296106,0.2393162383887366,0.03178418803170487
19,19,0.7584747672080994,0.01633414998650551,0.004184554006362939,0.042735042578549085,0.0022869925211888493
