,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,0.9176886081695557,0.001257570693269372,0.08396657548495301,0.11111111102588246,0.07944377670319518
1,1,0.9314026832580566,0.0008559338166378438,0.0,0.0,0.0
2,2,0.9423205852508545,0.0008286624797619879,0.0,0.0,0.0
3,3,0.9533582329750061,0.0006215998437255621,0.0,0.0,0.0
4,4,0.9498120546340942,0.0006804151926189661,0.0,0.0,0.0
5,5,0.9596846103668213,0.0005304372170940042,0.0,0.0,0.0
6,6,0.9597821235656738,0.0005573429516516626,0.0,0.0,0.0
7,7,0.9607475996017456,0.0004891350399702787,0.0,0.0,0.0
8,8,0.9592767953872681,0.0005375409964472055,0.0,0.0,0.0
9,9,0.9602100253105164,0.00048264663200825453,0.0,0.0,0.0
10,10,0.9666712284088135,0.00047546258429065347,0.0,0.0,0.0
11,11,0.9689663052558899,0.00035540451062843204,0.0,0.0,0.0
12,12,0.96120285987854,0.0004562363028526306,0.0,0.0,0.0
13,13,1.071934461593628,0.0017755182925611734,0.0,0.0,0.0
14,14,1.049589991569519,0.0004944500979036093,0.0,0.0,0.0
15,15,1.0462226867675781,0.0005420582019723952,0.0,0.0,0.0
16,16,1.0411376953125,0.0003796673263423145,0.0,0.0,0.0
17,17,1.033257246017456,0.00044251885265111923,0.0,0.0,0.0
18,18,1.044677972793579,0.00045976683031767607,0.0,0.0,0.0
19,19,1.0308037996292114,0.0002991022483911365,0.0,0.0,0.0
