,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,-1.362577199935913,0.482394814491272,0.6531929110879314,0.659740067277853,0.7466279379758559
1,1,-5.760880470275879,-1.2809032201766968,0.6701387076604106,0.5059286999900823,0.9943910255633467
2,2,-8.847494125366211,-0.49270063638687134,0.6667076333329165,0.5000503758620461,0.9999833065458156
3,3,-11.07703685760498,-0.3828662037849426,0.6666666621874997,0.49999999998047245,0.9999999999218826
4,4,-11.544426918029785,-0.4506079852581024,0.6666666621874997,0.49999999998047245,0.9999999999218826
5,5,-11.512062072753906,-0.0825648307800293,0.6666666621874997,0.49999999998047245,0.9999999999218826
6,6,-12.842662811279297,0.44925838708877563,0.6666666621874997,0.49999999998047245,0.9999999999218826
7,7,-12.474146842956543,0.014368951320648193,0.6666666621874997,0.49999999998047245,0.9999999999218826
8,8,-13.73509407043457,0.027881786227226257,0.6666666621874997,0.49999999998047245,0.9999999999218826
9,9,-14.55842113494873,-0.005790218710899353,0.6666666621874997,0.49999999998047245,0.9999999999218826
10,10,-13.957098007202148,0.3464285135269165,0.6666666621874997,0.49999999998047245,0.9999999999218826
11,11,-14.450757026672363,0.09874999523162842,0.6666666621874997,0.49999999998047245,0.9999999999218826
12,12,-13.61804485321045,0.1855432093143463,0.6666666621874997,0.49999999998047245,0.9999999999218826
13,13,-12.847738265991211,0.14563623070716858,0.6666666621874997,0.49999999998047245,0.9999999999218826
14,14,-13.602453231811523,0.3025583028793335,0.6666666621874997,0.49999999998047245,0.9999999999218826
15,15,-14.566516876220703,0.34798961877822876,0.6666666621874997,0.49999999998047245,0.9999999999218826
16,16,-16.17040252685547,0.13928687572479248,0.6666666621874997,0.49999999998047245,0.9999999999218826
17,17,-15.531862258911133,0.24915656447410583,0.6666666621874997,0.49999999998047245,0.9999999999218826
18,18,-15.468460083007812,0.09463482350111008,0.6666666621874997,0.49999999998047245,0.9999999999218826
19,19,-18.075830459594727,0.06281068921089172,0.6666666621874997,0.49999999998047245,0.9999999999218826
20,20,-16.904556274414062,0.06885454803705215,0.6666666621874997,0.49999999998047245,0.9999999999218826
21,21,-15.783143997192383,0.010578647255897522,0.6666666621874997,0.49999999998047245,0.9999999999218826
22,22,-17.224348068237305,0.09383771568536758,0.6666666621874997,0.49999999998047245,0.9999999999218826
23,23,-15.738633155822754,0.056805822998285294,0.6666666621874997,0.49999999998047245,0.9999999999218826
24,24,-16.024185180664062,0.04535015672445297,0.6666666621874997,0.49999999998047245,0.9999999999218826
25,25,-16.91244888305664,0.14279134571552277,0.6666666621874997,0.49999999998047245,0.9999999999218826
26,26,-18.0202693939209,0.10154028981924057,0.6666666621874997,0.49999999998047245,0.9999999999218826
27,27,-17.797863006591797,0.19112294912338257,0.6666666621874997,0.49999999998047245,0.9999999999218826
28,28,-17.41594696044922,0.16481684148311615,0.6666666621874997,0.49999999998047245,0.9999999999218826
29,29,-16.959190368652344,-0.024419546127319336,0.6666666621874997,0.49999999998047245,0.9999999999218826
30,30,-18.018861770629883,0.022241294384002686,0.6666666621874997,0.49999999998047245,0.9999999999218826
31,31,-18.60018539428711,0.13052326440811157,0.6666666621874997,0.49999999998047245,0.9999999999218826
32,32,-17.63060760498047,0.19452553987503052,0.6666666621874997,0.49999999998047245,0.9999999999218826
