,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,-27497.4375,-76487.8515625,0.6629948660279276,0.49899930144012355,0.992955395221578
1,1,-72817.96875,-166048.125,0.6666666621874997,0.49999999998047245,0.9999999999218826
2,2,-99134.9921875,156689.34375,0.6666666621874997,0.49999999998047245,0.9999999999218826
3,3,-102879.78125,-195801.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
4,4,-139230.984375,-323048.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
5,5,-212391.84375,-391021.21875,0.6666666621874997,0.49999999998047245,0.9999999999218826
6,6,-333613.5,-756338.8125,0.6666666621874997,0.49999999998047245,0.9999999999218826
7,7,-484564.1875,-1024021.25,0.6666666621874997,0.49999999998047245,0.9999999999218826
8,8,-620335.125,-1390671.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
9,9,-792524.375,-1602996.875,0.6666666621874997,0.49999999998047245,0.9999999999218826
10,10,-971469.6875,-1276381.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
11,11,-1138021.5,-2103049.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
12,12,-1290179.125,436807.25,0.6666666621874997,0.49999999998047245,0.9999999999218826
13,13,-1354652.625,-2728242.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
14,14,-1489383.375,-3008882.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
15,15,-1670205.25,-2946150.25,0.6666666621874997,0.49999999998047245,0.9999999999218826
16,16,-1822544.75,-3550467.75,0.6666666621874997,0.49999999998047245,0.9999999999218826
17,17,-1979493.375,-3671493.25,0.6666666621874997,0.49999999998047245,0.9999999999218826
18,18,-2114395.5,-3875846.75,0.6666666621874997,0.49999999998047245,0.9999999999218826
19,19,-2331516.5,-2673022.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
20,20,-2490812.5,-3919020.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
21,21,-2641068.0,-4334336.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
22,22,-2782801.5,-4482468.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
23,23,-2991039.75,-3544157.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
24,24,-3201837.75,-6359399.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
25,25,-3347256.5,-6603654.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
26,26,-3567318.5,-6457126.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
27,27,-3644276.5,-6789611.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
28,28,-3841578.0,-5554637.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
29,29,-3844319.5,-6498055.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
30,30,-3903844.5,-7997450.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
31,31,-4011111.0,-6820067.0,0.6666666621874997,0.49999999998047245,0.9999999999218826
32,32,-4048152.75,-6384760.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
