,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,-0.04403063282370567,1.9980273246765137,0.06283107060835637,0.5139802437295636,0.03577390491173499
1,1,-0.05001377314329147,1.4068883657455444,0.11922258133712195,0.6137469025456611,0.07411858973779918
2,2,-0.0323457270860672,1.8192870616912842,0.06019678041623347,0.4615384601323187,0.03402110042469251
3,3,-7.046805694699287e-05,0.6878355145454407,0.18301216980038254,0.6814467192545226,0.12309695511858817
4,4,-0.017417099326848984,0.0107651948928833,0.3274225622235387,0.8437097913373725,0.24410723822879188
5,5,-0.0015886458568274975,-0.09933251142501831,0.17719203359012697,0.59279728404484,0.12264623396477731
6,6,0.008616311475634575,-0.6264660358428955,0.696490117822926,0.9314739578585005,0.6352664262324212
7,7,0.02247542329132557,-0.48336970806121826,0.6278501000489356,0.9400534851897082,0.5508647168373043
8,8,0.11293311417102814,-1.2272462844848633,0.8158720021824762,0.9861485012882311,0.769431089683477
9,9,0.015353238210082054,-1.0160043239593506,0.604808548304685,0.9637661945426537,0.5242721687624604
10,10,0.18825310468673706,-1.0126278400421143,0.49833684793206223,0.7067060037866107,0.4638254540235917
11,11,0.37799203395843506,-1.9397332668304443,0.237703221775642,0.7828048106381639,0.16985510148245644
12,12,0.5202168226242065,-2.220853328704834,0.5982582528045285,0.8001234298178603,0.5323350694028552
13,13,0.6923341751098633,-2.487722635269165,0.6462570983088163,0.972069061481595,0.5716312766647427
14,14,0.6192448139190674,-2.462108612060547,0.23444039421015153,0.5811965802234325,0.18022168802010816
15,15,0.8194891214370728,-2.803917169570923,0.5410942974959155,0.7029914525063264,0.5064269497467604
16,16,1.0481370687484741,-3.2876672744750977,0.22623607517944866,0.3952991445263092,0.20197315703550256
17,17,1.1695489883422852,-3.4928317070007324,0.5256371886666238,0.7136752129955032,0.500684428379687
18,18,1.007054090499878,-3.410343885421753,0.45147217000774187,0.5149572647868,0.4357138087266422
19,19,0.9091519117355347,-3.417609691619873,0.2911942966565089,0.4401709397838471,0.26063368053519337
20,20,1.5363473892211914,-4.268412113189697,0.9833360676646722,0.9846482806870135,0.9870125533417005
21,21,1.8742023706436157,-4.662278175354004,0.9998175813421825,0.9997056075992785,0.9999332264176142
22,22,2.3420071601867676,-5.24157190322876,0.9658114974134324,0.9921222165205706,0.9583834133866701
23,23,2.1350951194763184,-5.040585517883301,0.017925512202713538,0.10470085424871126,0.012419871793901492
24,24,2.463931083679199,-5.47276496887207,0.9537181804202932,0.989200920616668,0.9405548877470365
25,25,2.889073371887207,-6.019855976104736,0.28040939752266225,0.33760683732061175,0.2719350961326004
26,26,2.3301496505737305,-5.751792907714844,0.5068767062001436,0.5105848864831521,0.5050747862853253
27,27,2.207479953765869,-5.682962894439697,0.25843381777554947,0.312138368189752,0.2984942574553116
28,28,2.628091812133789,-6.1523756980896,0.614573917198877,0.8725932354146434,0.5901108439709919
29,29,2.638774871826172,-6.185149192810059,0.4303966997683603,0.504273504012436,0.41524772966841267
30,30,2.9198451042175293,-6.777351379394531,0.03281564341944571,0.03600332786009683,0.031934428416308544
31,31,2.6011133193969727,-6.483048439025879,0.190540391090435,0.23560047084964653,0.226929754255775
32,32,3.6322453022003174,-7.458636283874512,0.7667054758105081,0.7899829204197988,0.7671607905383586
