,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,0.53144371509552,0.2468166947364807,0.22247238225759866,0.3164762559657863,0.23742988780196347
1,1,0.42114871740341187,0.1870868057012558,0.42555156542164696,0.5830726538555926,0.43853498928197876
2,2,0.36308467388153076,0.2311697155237198,0.45806432774917477,0.5996735954342147,0.4542768429132274
3,3,0.261687695980072,0.24990718066692352,0.4725884750466997,0.5748414491549682,0.48225494120164003
4,4,0.38200509548187256,0.2400827407836914,0.48962477173934493,0.5745325422019986,0.5045906783793823
5,5,0.26412975788116455,0.24847200512886047,0.4914852975420162,0.5746483989541018,0.5237713674804478
6,6,0.3344756066799164,0.24027469754219055,0.51186415268045,0.5862181080648026,0.5325520832917279
7,7,0.4432563781738281,0.24687236547470093,0.49323160898433355,0.5862728168051159,0.4993489582943215
8,8,0.2411288321018219,0.20708894729614258,0.4596261451138531,0.6064013161978292,0.4582832531693249
9,9,0.36669015884399414,0.18040937185287476,0.41111758644036267,0.5963282880290504,0.4129440437711577
10,10,0.19972115755081177,0.12642396986484528,0.3700532213779596,0.6062654237192048,0.3683727296720759
11,11,0.7769386768341064,0.20933189988136292,0.333534053947546,0.5841408206845362,0.34044471151186423
12,12,0.6340081691741943,0.151656374335289,0.30078195382999556,0.5916705521353612,0.3035356570275682
13,13,1.1757001876831055,0.16330312192440033,0.29579348306202174,0.5752870179536266,0.3019998664293974
14,14,0.6718446612358093,0.17317694425582886,0.2549382609665799,0.5246395549662161,0.26024973288565045
15,15,0.5660905838012695,0.11543896794319153,0.2409261994277838,0.5127883554954116,0.24205395297254215
16,16,0.4671962261199951,0.06867522746324539,0.23025386555350197,0.537491260553597,0.22821514421293965
17,17,0.7345633506774902,0.10140781104564667,0.23469408569250952,0.5121890300707509,0.226195245708824
18,18,0.3658038079738617,0.2262936234474182,0.24028966749364045,0.5158068141883683,0.24435763886979828
19,19,1.0759429931640625,0.0793369710445404,0.23275965870827564,0.5281189142222448,0.23230502134937223
