,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,1.00991690158844,0.00010172337351832539,0.04412801060068029,0.05341880340430116,0.04181690704801511
1,1,0.4089844524860382,0.22191856801509857,0.32270720774343153,0.4338599598266456,0.34872462604113197
2,2,0.3380796015262604,0.20805153250694275,0.4610864196143621,0.6183361552861453,0.4480168268880752
3,3,0.38720399141311646,0.26827073097229004,0.5150764600743921,0.5891082352963715,0.5314336270952338
4,4,0.3294357657432556,0.2536156177520752,0.5108938934051329,0.5829696046851093,0.5459234775214526
5,5,0.24322518706321716,0.252431720495224,0.5039464903458591,0.58423999676076,0.562767093973128
6,6,0.2578314542770386,0.2544465959072113,0.4955449787210226,0.5787920699397867,0.5707632211092551
7,7,0.3266969323158264,0.2519735097885132,0.5007244142305627,0.5853007153804879,0.5801615918350168
8,8,0.289639949798584,0.2497837096452713,0.5096601870538277,0.6013411083862648,0.5886418268770889
9,9,0.2390119582414627,0.25173795223236084,0.5095755108027163,0.6097884065764173,0.5865718482447724
10,10,0.2763410210609436,0.24939732253551483,0.49560934517243166,0.6037778173224748,0.5787426548693159
11,11,0.24429628252983093,0.25034022331237793,0.4881679535327005,0.5951177065855983,0.5814803685443157
12,12,0.21959711611270905,0.25081586837768555,0.48322638913407745,0.6085296942865794,0.5712640223912675
13,13,0.2807713747024536,0.24939396977424622,0.4921704600589076,0.5920471468763497,0.5834668802962968
14,14,0.22390538454055786,0.2506389021873474,0.5068942255936756,0.618238778476994,0.5873397435438579
15,15,0.28762346506118774,0.24861405789852142,0.5143154435999604,0.6184712385797456,0.5888588407659617
16,16,0.24132665991783142,0.24810752272605896,0.5541619866821841,0.6218355504339839,0.608774038413978
17,17,0.2663959562778473,0.22832193970680237,0.5651376057178547,0.6289786536527627,0.5983072916199246
18,18,0.4274120330810547,0.21112045645713806,0.5284992817916194,0.6337895160117633,0.5214843749592589
19,19,0.3789154291152954,0.15778213739395142,0.4260066728654208,0.6301214259707782,0.37555088138091663
