,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,-0.47223609685897827,-0.22284984588623047,0.6707349536475409,0.5052505852607504,0.998714609964718
1,1,-0.43993058800697327,-0.2745991051197052,0.8332509958118407,0.7261087842282066,0.9999999999218826
2,2,-0.41348084807395935,-0.2846469581127167,0.9205102477371829,0.8620097678318397,0.9999999999218826
3,3,-0.3574376702308655,-0.37536635994911194,0.9928233489030726,0.9943955660059449,0.9915865383840747
4,4,-0.36430519819259644,-0.38115212321281433,0.9999417954473491,0.9998840521315341,0.9999999999218826
5,5,-0.3337269425392151,-0.42865562438964844,0.9999999949218807,0.9999999999218826,0.9999999999218826
6,6,-0.3420284688472748,-0.43145984411239624,0.9961821517447034,0.9929246504613284,0.9999999999218826
7,7,-0.35151880979537964,-0.4279913902282715,0.9999999949218807,0.9999999999218826,0.9999999999218826
8,8,-0.2863572835922241,-0.4925856590270996,0.9814686427463031,0.9998185607375719,0.9722889956505409
9,9,-0.29846668243408203,-0.500285267829895,0.9996745001082974,0.9999999999218302,0.9993656516313338
10,10,-0.27360302209854126,-0.5344923138618469,0.9999999949218807,0.9999999999218826,0.9999999999218826
11,11,-0.24527613818645477,-0.5672276020050049,0.77495499993721,0.9594017087283968,0.7555422007956767
12,12,-0.23973745107650757,-0.5832868218421936,0.7071952162248608,0.8717948710293133,0.6935430020825714
13,13,-0.21967875957489014,-0.6112094521522522,0.9999999949218807,0.9999999999218826,0.9999999999218826
14,14,-0.19958961009979248,-0.6370197534561157,0.931625759619457,0.9914529912196358,0.9260316505686852
15,15,-0.17938895523548126,-0.6627228856086731,0.9963377907506329,0.9999999999212199,0.9935062766317907
16,16,-0.23456163704395294,-0.5420936346054077,0.8941669456961869,0.9893162391170517,0.8644330928811881
17,17,-0.14161942899227142,-0.7151836156845093,0.0004943824651455735,0.02350427330484331,0.0002504006410060785
18,18,-0.13350477814674377,-0.7311480641365051,0.23281535835476833,0.30128205106628503,0.22327390489708618
19,19,-0.11272494494915009,-0.7596501111984253,0.18486592471683685,0.21794871778298613,0.18107305019952868
20,20,-0.12200073897838593,-0.7597813606262207,0.40324062668905675,0.696581195674323,0.36301415595454445
21,21,-0.10673841834068298,-0.7832260131835938,0.1794639643340947,0.8696581174222872,0.12294671473398448
22,22,-0.09940516948699951,-0.797207772731781,0.010888259243298833,0.22222222084414123,0.005792601495273955
23,23,-0.07589522004127502,-0.8052547574043274,0.0006273922132188502,0.03205128177350428,0.0003171741452743661
24,24,-0.07658423483371735,-0.8340997695922852,0.0,0.0,0.0
25,25,-0.07569670677185059,-0.8445954322814941,0.0029800394505355675,0.1132478623746439,0.0015190972221035427
26,26,-0.06932636350393295,-0.855503261089325,0.0,0.0,0.0
27,27,-0.05807523801922798,-0.8748592734336853,0.0,0.0,0.0
28,28,-0.057299841195344925,-0.8641625642776489,0.0,0.0,0.0
29,29,-0.04177623242139816,-0.9023122787475586,0.0,0.0,0.0
30,30,-0.03309202194213867,-0.9139192700386047,0.0009082082951809135,0.025641025468304848,0.0004674145298780132
31,31,-0.03953967243432999,-0.9163388013839722,0.0,0.0,0.0
32,32,-0.03558799624443054,-0.9242081046104431,0.0,0.0,0.0
33,33,-0.03659594804048538,-0.9159466624259949,0.0,0.0,0.0
34,34,-0.02530805580317974,-0.9383123517036438,0.0,0.0,0.0
