,fid_score,model_name,lr
0,231.30101943139846,WGAN,0.1
1,117.97245488372735,WGAN,0.01
2,91.14809589933628,WGAN,0.001
3,109.8525489905033,WGAN,0.0001
4,389.0798140069311,WGAN,1e-05
